
      Letter     Counts     Frequency
        a          14         0.1022
        b           0         0.0000
        c           0         0.0000
        d           0         0.0000
        e           0         0.0000
        f           7         0.0511
        g           3         0.0219
        h           3         0.0219
        i          16         0.1168
        j           0         0.0000
        k          11         0.0803
        l           0         0.0000
        m           2         0.0146
        n           5         0.0365
        o           5         0.0365
        p           2         0.0146
        q          10         0.0730
        r           1         0.0073
        s           6         0.0438
        t           4         0.0292
        u           0         0.0000
        v           5         0.0365
        w          11         0.0803
        x           5         0.0365
        y          12         0.0876
        z          15         0.1095
