
      Letter     Counts     Frequency
        a          12         0.1304
        b           1         0.0109
        c           5         0.0543
        d           3         0.0326
        e          10         0.1087
        f           1         0.0109
        g           3         0.0326
        h           3         0.0326
        i           8         0.0870
        j           0         0.0000
        k           0         0.0000
        l           2         0.0217
        m           4         0.0435
        n           7         0.0761
        o           8         0.0870
        p           2         0.0217
        q           0         0.0000
        r           5         0.0543
        s           7         0.0761
        t           5         0.0543
        u           0         0.0000
        v           1         0.0109
        w           3         0.0326
        x           0         0.0000
        y           2         0.0217
        z           0         0.0000
